Key;Attribute;DefaultLanguage;de-DE
PAR_RTR_ZYKSNDH;Text;Zyklisch senden der Stellgröße Heizen;Zyklisch senden der Stellgröße Heizen
PAR_RTR_ZYKSNDH;SuffixText;;
PAR_RTR_BASSOLRST;Text;Basissollwert nach Laden der Applikation;Basissollwert nach Laden der Applikation
PAR_RTR_BASSOLRST;SuffixText;;
PAR_RTR_SOLFROST;Text;Sollwert für Frostschutzbetrieb (bei Heizen);Sollwert für Frostschutzbetrieb (bei Heizen)
PAR_RTR_SOLFROST;SuffixText;;
PAR_RTR_MINBASSOL;Text;Minimal gültiger Basissollwert;Minimal gültiger Basissollwert
PAR_RTR_MINBASSOL;SuffixText;;
PAR_RTR_MAXBASSOL;Text;Maximal gültiger Basissollwert;Maximal gültiger Basissollwert
PAR_RTR_MAXBASSOL;SuffixText;;
PAR_RTR_MAXSOLVERSCH;Text;Maximal gültige Sollwertverschiebung;Maximal gültige Sollwertverschiebung
PAR_RTR_MAXSOLVERSCH;SuffixText;;
PAR_RTR_STBYABSH;Text;Absenkung im Standbybetrieb (bei Heizen);Absenkung im Standbybetrieb (bei Heizen)
PAR_RTR_STBYABSH;SuffixText;;
PAR_RTR_NACHTABSH;Text;Absenkung im Nachtbetrieb (bei Heizen);Absenkung im Nachtbetrieb (bei Heizen)
PAR_RTR_NACHTABSH;SuffixText;;
PAR_RTR_FUSSTMAX;Text;Maximale Fußbodentemperatur;Maximale Fußbodentemperatur
PAR_RTR_FUSSTMAX;SuffixText;;
PAR_RTR_ARTSTELLGR2STH;Text;Art der Stellgröße;Art der Stellgröße
PAR_RTR_ARTSTELLGR2STH;SuffixText;;
PAR_RTR_ARTSTELLGR2STK;Text;Art der Stellgröße;Art der Stellgröße
PAR_RTR_ARTSTELLGR2STK;SuffixText;;
PAR_RTR_DELTAZUSSTUFH;Text;Differenz zw. Hauptstufe und Zusatzstufe;Differenz zw. Hauptstufe und Zusatzstufe
PAR_RTR_DELTAZUSSTUFH;SuffixText;;
PAR_RTR_DELTAZUSSTUFK;Text;Differenz zw. Hauptstufe und Zusatzstufe;Differenz zw. Hauptstufe und Zusatzstufe
PAR_RTR_DELTAZUSSTUFK;SuffixText;;
PAR_RTR_PBANDZUSH;Text;Proportionalband;Proportionalband
PAR_RTR_PBANDZUSH;SuffixText;;
PAR_RTR_PBANDZUSK;Text;Proportionalband;Proportionalband
PAR_RTR_PBANDZUSK;SuffixText;;
PAR_RTR_PWM_ZUSH;Text;PWM-Periode;PWM-Periode
PAR_RTR_PWM_ZUSH;SuffixText;min;min
PAR_RTR_DELTASNDZUSH;Text;Senden der Stellgröße;Senden der Stellgröße
PAR_RTR_DELTASNDZUSH;SuffixText;;
PAR_RTR_ZYKSNDZUSH;Text;Zyklisch senden;Zyklisch senden
PAR_RTR_ZYKSNDZUSH;SuffixText;;
PAR_RTR_HYS2PKTK;Text;Hysterese des 2-Punkt Reglers;Hysterese des 2-Punkt Reglers
PAR_RTR_HYS2PKTK;SuffixText;;
PAR_RTR_RCKFHYS2PKTK;Text;Rückführung der Hysterese nach Schaltpunkt;Rückführung der Hysterese nach Schaltpunkt
PAR_RTR_RCKFHYS2PKTK;SuffixText;;
PAR_RTR_PBANDK;Text;Proportionalband des Kühlenreglers;Proportionalband des Kühlenreglers
PAR_RTR_PBANDK;SuffixText;;
PAR_RTR_IZEITK;Text;Integrierzeit des Kühlenreglers;Integrierzeit des Kühlenreglers
PAR_RTR_IZEITK;SuffixText;;
PAR_RTR_PBANDK_KUEHLDECKE;Text;Proportionalband des Kühlenreglers;Proportionalband des Kühlenreglers
PAR_RTR_PBANDK_KUEHLDECKE;SuffixText;;
PAR_RTR_IZEITK_KUEHLDECKE;Text;Integrierzeit des Kühlenreglers;Integrierzeit des Kühlenreglers
PAR_RTR_IZEITK_KUEHLDECKE;SuffixText;;
PAR_RTR_PBANDK_FANCOIL;Text;Proportionalband des Kühlenreglers;Proportionalband des Kühlenreglers
PAR_RTR_PBANDK_FANCOIL;SuffixText;;
PAR_RTR_IZEITK_FANCOIL;Text;Integrierzeit des Kühlenreglers;Integrierzeit des Kühlenreglers
PAR_RTR_IZEITK_FANCOIL;SuffixText;;
PAR_RTR_REGPARAMK;Text;Einstellung der Regelparameter;Einstellung der Regelparameter
PAR_RTR_REGPARAMK;SuffixText;;
PAR_RTR_ANLTYPK;Text;Anlagentyp;Anlagentyp
PAR_RTR_ANLTYPK;SuffixText;;
PAR_RTR_DELTASNDK;Text;Senden der Stellgröße Kühlen;Senden der Stellgröße Kühlen
PAR_RTR_DELTASNDK;SuffixText;;
PAR_RTR_ZYKSNDK;Text;Zyklisch senden der Stellgröße Kühlen;Zyklisch senden der Stellgröße Kühlen
PAR_RTR_ZYKSNDK;SuffixText;;
PAR_RTR_TOTZO2RO;Text;Totzone zw. Heizen und Kühlen;Totzone zw. Heizen und Kühlen
PAR_RTR_TOTZO2RO;SuffixText;;
PAR_RTR_TOTZO2ROHYHK;Text;Totzone zw. Heizen und Kühlen (+ Hysterese Heizen + Hysterese Kühlen);Totzone zw. Heizen und Kühlen (+ Hysterese Heizen + Hysterese Kühlen)
PAR_RTR_TOTZO2ROHYHK;SuffixText;;
PAR_RTR_TOTZO4RO;Text;Totzone zw. Heizen und Kühlen;Totzone zw. Heizen und Kühlen
PAR_RTR_TOTZO4RO;SuffixText;;
PAR_RTR_TOTZO4ROHYK;Text;Totzone zw. Heizen und Kühlen (+ Hysterese Kühlen);Totzone zw. Heizen und Kühlen (+ Hysterese Kühlen)
PAR_RTR_TOTZO4ROHYK;SuffixText;;
PAR_RTR_TOTZO4ROHYH;Text;Totzone zw. Heizen und Kühlen (+ Hysterese Heizen);Totzone zw. Heizen und Kühlen (+ Hysterese Heizen)
PAR_RTR_TOTZO4ROHYH;SuffixText;;
PAR_RTR_TOTZO4ROHYHK;Text;Totzone zw. Heizen und Kühlen (+ Hysterese Heizen + Hysterese Kühlen);Totzone zw. Heizen und Kühlen (+ Hysterese Heizen + Hysterese Kühlen)
PAR_RTR_TOTZO4ROHYHK;SuffixText;;
PAR_RTR_TOTZO4RO_AUTO;Text;Totzone zw. Heizen und Kühlen;Totzone zw. Heizen und Kühlen
PAR_RTR_TOTZO4RO_AUTO;SuffixText;;
PAR_RTR_TOTZO4ROHYK_AUTO;Text;Totzone zw. Heizen und Kühlen (+ Hysterese Kühlen);Totzone zw. Heizen und Kühlen (+ Hysterese Kühlen)
PAR_RTR_TOTZO4ROHYK_AUTO;SuffixText;;
PAR_RTR_TOTZO4ROHYH_AUTO;Text;Totzone zw. Heizen und Kühlen (+ Hysterese Heizen);Totzone zw. Heizen und Kühlen (+ Hysterese Heizen)
PAR_RTR_TOTZO4ROHYH_AUTO;SuffixText;;
PAR_RTR_TOTZO4ROHYHK_AUTO;Text;Totzone zw. Heizen und Kühlen (+ Hysterese Heizen + Hysterese Kühlen);Totzone zw. Heizen und Kühlen (+ Hysterese Heizen + Hysterese Kühlen)
PAR_RTR_TOTZO4ROHYHK_AUTO;SuffixText;;
PAR_RTR_TOTZO4ROHYK_OBJ;Text;Totzone zw. Heizen und Kühlen (+ Hysterese Kühlen);Totzone zw. Heizen und Kühlen (+ Hysterese Kühlen)
PAR_RTR_TOTZO4ROHYK_OBJ;SuffixText;;
PAR_RTR_TOTZO4ROHYH_OBJ;Text;Totzone zw. Heizen und Kühlen (+ Hysterese Heizen);Totzone zw. Heizen und Kühlen (+ Hysterese Heizen)
PAR_RTR_TOTZO4ROHYH_OBJ;SuffixText;;
PAR_RTR_SOLHITZ;Text;Sollwert für Hitzeschutzbetrieb (bei Kühlen);Sollwert für Hitzeschutzbetrieb (bei Kühlen)
PAR_RTR_SOLHITZ;SuffixText;;
PAR_RTR_STBYANHK;Text;Anhebung im Standbybetrieb (bei Kühlen);Anhebung im Standbybetrieb (bei Kühlen)
PAR_RTR_STBYANHK;SuffixText;;
PAR_RTR_NACHTANHK;Text;Anhebung im Nachtbetrieb (bei Kühlen);Anhebung im Nachtbetrieb (bei Kühlen)
PAR_RTR_NACHTANHK;SuffixText;;
PAR_RTR_SOLANPAB;Text;Sollwertkorrektur ab;Sollwertkorrektur ab
PAR_RTR_SOLANPAB;SuffixText;;
PAR_RTR_BASSOLANP;Text;Startsollwert;Startsollwert
PAR_RTR_BASSOLANP;SuffixText;;
PAR_RTR_ZYKSNDSOLANP;Text;Sollwertanpassung senden;Sollwertanpassung senden
PAR_RTR_ZYKSNDSOLANP;SuffixText;;
PAR_RTR_PWM_ZUSK;Text;PWM-Periode;PWM-Periode
PAR_RTR_PWM_ZUSK;SuffixText;min;min
PAR_RTR_DELTASNDZUSK;Text;Senden der Stellgröße;Senden der Stellgröße
PAR_RTR_DELTASNDZUSK;SuffixText;;
PAR_RTR_ZYKSNDZUSK;Text;Zyklisch senden;Zyklisch senden
PAR_RTR_ZYKSNDZUSK;SuffixText;;
PAR_ALG_I0_AKTI;Text;Kanal aktivieren;Kanal aktivieren
PAR_ALG_I0_AKTI;SuffixText;;
PAR_BM_I0_FUNKTION;Text;Funktion des Kanals;Funktion des Kanals
PAR_BM_I0_FUNKTION;SuffixText;;
PAR_BM_I0_SPERRSINN;Text;Sperrtelegramm;Sperrtelegramm
PAR_BM_I0_SPERRSINN;SuffixText;;
PAR_BM_I0_S_ENTPREL;Text;Entprellzeit;Entprellzeit
PAR_BM_I0_S_ENTPREL;SuffixText;;
PAR_BM_I0_S_ZYKZT;Text;Zyklisch senden;Zyklisch senden
PAR_BM_I0_S_ZYKZT;SuffixText;;
PAR_BM_I0_T_TASTRWIRKSIN;Text;Angeschlossener Taster;Angeschlossener Taster
PAR_BM_I0_T_TASTRWIRKSIN;SuffixText;;
PAR_BM_I0_T_LANGDRCK;Text;Langer Tastendruck ab;Langer Tastendruck ab
PAR_BM_I0_T_LANGDRCK;SuffixText;;
PAR_BM_I0_T_ZTDOPLKLIK;Text;Zeit für Doppelklick;Zeit für Doppelklick
PAR_BM_I0_T_ZTDOPLKLIK;SuffixText;;
PAR_BM_I0_D_LANGDRCK;Text;Langer Tastendruck ab;Langer Tastendruck ab
PAR_BM_I0_D_LANGDRCK;SuffixText;;
PAR_BM_I0_D_ZTDOPLKLIK;Text;Zeit für Doppelklick;Zeit für Doppelklick
PAR_BM_I0_D_ZTDOPLKLIK;SuffixText;;
PAR_BM_I0_J_LANGDRCK;Text;Langer Tastendruck ab;Langer Tastendruck ab
PAR_BM_I0_J_LANGDRCK;SuffixText;;
PAR_BM_I0_J_ZTDOPLKLIK;Text;Zeit für Doppelklick;Zeit für Doppelklick
PAR_BM_I0_J_ZTDOPLKLIK;SuffixText;;
PAR_BM_I0_0_S_SNDWENN1;Text;Senden wenn Eingang = 1;Senden wenn Eingang = 1
PAR_BM_I0_0_S_SNDWENN1;SuffixText;;
PAR_BM_I0_0_S_SNDWENN0;Text;Senden wenn Eingang = 0;Senden wenn Eingang = 0
PAR_BM_I0_0_S_SNDWENN0;SuffixText;;
PAR_BM_I0_0_S_ZYKSND;Text;Zyklisch senden;Zyklisch senden
PAR_BM_I0_0_S_ZYKSND;SuffixText;;
PAR_BM_I0_0_S_SPERREIN;Text;Reaktion beim Setzen der Sperre;Reaktion beim Setzen der Sperre
PAR_BM_I0_0_S_SPERREIN;SuffixText;;
PAR_BM_I0_0_S_SPERRAUS;Text;Reaktion beim Aufheben der Sperre;Reaktion beim Aufheben der Sperre
PAR_BM_I0_0_S_SPERRAUS;SuffixText;;
PAR_BM_I0_D_DOPPKLICK;Text;Zusatzfunktion Doppelklick;Zusatzfunktion Doppelklick
PAR_BM_I0_D_DOPPKLICK;SuffixText;;
PAR_BM_I0_J_DOPPKLICK;Text;Zusatzfunktion Doppelklick;Zusatzfunktion Doppelklick
PAR_BM_I0_J_DOPPKLICK;SuffixText;;
PAR_BM_I0_D_SPERREINDKL;Text;Reaktion beim Setzen der Sperre;Reaktion beim Setzen der Sperre
PAR_BM_I0_D_SPERREINDKL;SuffixText;;
PAR_BM_I0_D_SPERRAUSDKL;Text;Reaktion beim Aufheben der Sperre;Reaktion beim Aufheben der Sperre
PAR_BM_I0_D_SPERRAUSDKL;SuffixText;;
PAR_BM_I0_J_SPERREINDKL;Text;Reaktion beim Setzen der Sperre;Reaktion beim Setzen der Sperre
PAR_BM_I0_J_SPERREINDKL;SuffixText;;
PAR_BM_I0_J_SPERRAUSDKL;Text;Reaktion beim Aufheben der Sperre;Reaktion beim Aufheben der Sperre
PAR_BM_I0_J_SPERRAUSDKL;SuffixText;;
PAR_BM_I0_0_T_BEIKURZ;Text;Senden nach kurzer Bedienung;Senden nach kurzer Bedienung
PAR_BM_I0_0_T_BEIKURZ;SuffixText;;
PAR_BM_I0_0_T_BEILNG;Text;Senden nach langer Bedienung;Senden nach langer Bedienung
PAR_BM_I0_0_T_BEILNG;SuffixText;;
PAR_BM_I0_0_T_DOPPKLICK;Text;Senden nach Doppelklick;Senden nach Doppelklick
PAR_BM_I0_0_T_DOPPKLICK;SuffixText;;
PAR_BM_CH0_ANZAHL_TELEGRAMME;Text;Anzahl der Telegramme;Anzahl der Telegramme
PAR_BM_CH0_ANZAHL_TELEGRAMME;SuffixText;;
PAR_BM_I0_SPERR;Text;Sperrfunktion aktivieren;Sperrfunktion aktivieren
PAR_BM_I0_SPERR;SuffixText;;
PAR_BM_I0_D_REAKLNGKRZ;Text;Reaktion auf lang / kurz;Reaktion auf lang / kurz
PAR_BM_I0_D_REAKLNGKRZ;SuffixText;;
PAR_BM_I0_D_SCHRITTW;Text;Schrittweite für Dimmen;Schrittweite für Dimmen
PAR_BM_I0_D_SCHRITTW;SuffixText;;
PAR_BM_I0_J_BEDIEN;Text;Bedienung;Bedienung
PAR_BM_I0_J_BEDIEN;SuffixText;;
PAR_BM_I0_J_STOPMIT;Text;Stoppen der Fahrbewegung durch;Stoppen der Fahrbewegung durch
PAR_BM_I0_J_STOPMIT;SuffixText;;
PAR_BM_I0_0_S_OBJTYP;Text;Objekttyp;Objekttyp
PAR_BM_I0_0_S_OBJTYP;SuffixText;;
PAR_BM_I0_0_S_BUSWIED;Text;Reaktion bei Buswiederkehr;Reaktion bei Buswiederkehr
PAR_BM_I0_0_S_BUSWIED;SuffixText;;
PAR_BM_I0_0_T_SPERREIN;Text;Reaktion beim Setzen der Sperre;Reaktion beim Setzen der Sperre
PAR_BM_I0_0_T_SPERREIN;SuffixText;;
PAR_BM_I0_0_T_SPERRAUS;Text;Reaktion beim Aufheben der Sperre;Reaktion beim Aufheben der Sperre
PAR_BM_I0_0_T_SPERRAUS;SuffixText;;
PAR_BM_I0_D_REAKBUSWIED;Text;Reaktion bei Bus- oder Netzwiederkehr;Reaktion bei Bus- oder Netzwiederkehr
PAR_BM_I0_D_REAKBUSWIED;SuffixText;;
PAR_BM_I0_D_SPERREIN;Text;Reaktion beim Setzen der Sperre;Reaktion beim Setzen der Sperre
PAR_BM_I0_D_SPERREIN;SuffixText;;
PAR_BM_I0_D_SPERRAUS;Text;Reaktion beim Aufheben der Sperre;Reaktion beim Aufheben der Sperre
PAR_BM_I0_D_SPERRAUS;SuffixText;;
PAR_BM_I0_J_REAKBUSWIED;Text;Reaktion bei Buswiederkehr;Reaktion bei Buswiederkehr
PAR_BM_I0_J_REAKBUSWIED;SuffixText;;
PAR_BM_I0_J_SPERREIN;Text;Reaktion beim Setzen der Sperre;Reaktion beim Setzen der Sperre
PAR_BM_I0_J_SPERREIN;SuffixText;;
PAR_BM_I0_J_SPERRAUS;Text;Reaktion beim Aufheben der Sperre;Reaktion beim Aufheben der Sperre
PAR_BM_I0_J_SPERRAUS;SuffixText;;
PAR_BM_I0_0_T_OBJTYP;Text;Objekttyp;Objekttyp
PAR_BM_I0_0_T_OBJTYP;SuffixText;;
PAR_BM_I0_0_T_ZYKSND;Text;Zyklisch senden;Zyklisch senden
PAR_BM_I0_0_T_ZYKSND;SuffixText;;
PAR_BM_I0_0_T_BUSWIED;Text;Reaktion bei Buswiederkehr;Reaktion bei Buswiederkehr
PAR_BM_I0_0_T_BUSWIED;SuffixText;;
PAR_BM_I0_D_OBJTYPDKL;Text;Objekttyp;Objekttyp
PAR_BM_I0_D_OBJTYPDKL;SuffixText;;
PAR_BM_I0_D_BUSWIEDDKL;Text;Reaktion bei Buswiederkehr;Reaktion bei Buswiederkehr
PAR_BM_I0_D_BUSWIEDDKL;SuffixText;;
PAR_BM_I0_J_OBJTYPDKL;Text;Objekttyp;Objekttyp
PAR_BM_I0_J_OBJTYPDKL;SuffixText;;
PAR_BM_I0_J_BUSWIEDDKL;Text;Reaktion bei Buswiederkehr;Reaktion bei Buswiederkehr
PAR_BM_I0_J_BUSWIEDDKL;SuffixText;;
PAR_BM_I0_1_S_SNDWENN1;Text;Senden wenn Eingang = 1;Senden wenn Eingang = 1
PAR_BM_I0_1_S_SNDWENN1;SuffixText;;
PAR_BM_I0_1_S_SNDWENN0;Text;Senden wenn Eingang = 0;Senden wenn Eingang = 0
PAR_BM_I0_1_S_SNDWENN0;SuffixText;;
PAR_BM_I0_1_S_ZYKSND;Text;Zyklisch senden;Zyklisch senden
PAR_BM_I0_1_S_ZYKSND;SuffixText;;
PAR_BM_I0_1_S_SPERREIN;Text;Reaktion beim Setzen der Sperre;Reaktion beim Setzen der Sperre
PAR_BM_I0_1_S_SPERREIN;SuffixText;;
PAR_BM_I0_1_S_SPERRAUS;Text;Reaktion beim Aufheben der Sperre;Reaktion beim Aufheben der Sperre
PAR_BM_I0_1_S_SPERRAUS;SuffixText;;
PAR_BM_I0_1_T_SPERREIN;Text;Reaktion beim Setzen der Sperre;Reaktion beim Setzen der Sperre
PAR_BM_I0_1_T_SPERREIN;SuffixText;;
PAR_BM_I0_1_T_SPERRAUS;Text;Reaktion beim Aufheben der Sperre;Reaktion beim Aufheben der Sperre
PAR_BM_I0_1_T_SPERRAUS;SuffixText;;
PAR_BM_I0_0_D_TELSCHALTDKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_D_TELSCHALTDKL;SuffixText;;
PAR_BM_I0_0_D_TELPRIODKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_D_TELPRIODKL;SuffixText;;
PAR_BM_I0_0_D_TELVALDKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_D_TELVALDKL;SuffixText;;
PAR_BM_I0_0_D_TELPROZDKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_D_TELPROZDKL;SuffixText;;
PAR_BM_I0_0_D_TEL2BYDKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_D_TEL2BYDKL;SuffixText;#,#;#,#
PAR_BM_I0_0_D_TEL4BYDKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_D_TEL4BYDKL;SuffixText;#,#;#,#
PAR_BM_I0_0_J_TELSCHALTDKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_J_TELSCHALTDKL;SuffixText;;
PAR_BM_I0_0_J_TELPRIODKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_J_TELPRIODKL;SuffixText;;
PAR_BM_I0_0_J_TELVALDKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_J_TELVALDKL;SuffixText;;
PAR_BM_I0_0_J_TELPROZDKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_J_TELPROZDKL;SuffixText;;
PAR_BM_I0_0_J_TEL2BYDKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_J_TEL2BYDKL;SuffixText;#,#;#,#
PAR_BM_I0_0_J_TEL4BYDKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_J_TEL4BYDKL;SuffixText;#,#;#,#
PAR_BM_I0_0_J_TELHOEHEDKL;Text;Höhe;Höhe
PAR_BM_I0_0_J_TELHOEHEDKL;SuffixText;;
PAR_BM_I0_0_J_TELLAMELLEDKL;Text;Lamelle;Lamelle
PAR_BM_I0_0_J_TELLAMELLEDKL;SuffixText;;
PAR_BM_I0_0_S_TELSCHALT1;Text;Telegramm;Telegramm
PAR_BM_I0_0_S_TELSCHALT1;SuffixText;;
PAR_BM_I0_0_S_TELPRIO1;Text;Telegramm;Telegramm
PAR_BM_I0_0_S_TELPRIO1;SuffixText;;
PAR_BM_I0_0_S_TELVAL1;Text;Telegramm;Telegramm
PAR_BM_I0_0_S_TELVAL1;SuffixText;;
PAR_BM_I0_0_S_TELPROZ1;Text;Telegramm;Telegramm
PAR_BM_I0_0_S_TELPROZ1;SuffixText;;
PAR_BM_I0_0_S_TEL2BY1;Text;Telegramm;Telegramm
PAR_BM_I0_0_S_TEL2BY1;SuffixText;#,#;#,#
PAR_BM_I0_0_S_TEL4BY1;Text;Telegramm;Telegramm
PAR_BM_I0_0_S_TEL4BY1;SuffixText;#,#;#,#
PAR_BM_I0_0_T_TELSCHALTKRZ;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TELSCHALTKRZ;SuffixText;;
PAR_BM_I0_0_T_TELPRIOKRZ;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TELPRIOKRZ;SuffixText;;
PAR_BM_I0_0_T_TELVALKRZ;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TELVALKRZ;SuffixText;;
PAR_BM_I0_0_T_TELPROZKRZ;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TELPROZKRZ;SuffixText;;
PAR_BM_I0_0_T_TEL2BYKRZ;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TEL2BYKRZ;SuffixText;#,#;#,#
PAR_BM_I0_0_T_TEL4BYKRZ;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TEL4BYKRZ;SuffixText;#,#;#,#
PAR_BM_I0_D_ZYKSNDDKL;Text;Zyklisch senden;Zyklisch senden
PAR_BM_I0_D_ZYKSNDDKL;SuffixText;;
PAR_BM_I0_J_ZYKSNDDKL;Text;Zyklisch senden;Zyklisch senden
PAR_BM_I0_J_ZYKSNDDKL;SuffixText;;
PAR_BM_I0_1_S_OBJTYP;Text;Objekttyp;Objekttyp
PAR_BM_I0_1_S_OBJTYP;SuffixText;;
PAR_BM_I0_1_S_BUSWIED;Text;Reaktion bei Buswiederkehr;Reaktion bei Buswiederkehr
PAR_BM_I0_1_S_BUSWIED;SuffixText;;
PAR_BM_I0_1_T_OBJTYP;Text;Objekttyp;Objekttyp
PAR_BM_I0_1_T_OBJTYP;SuffixText;;
PAR_BM_I0_1_T_ZYKSND;Text;Zyklisch senden;Zyklisch senden
PAR_BM_I0_1_T_ZYKSND;SuffixText;;
PAR_BM_I0_1_T_BUSWIED;Text;Reaktion bei Buswiederkehr;Reaktion bei Buswiederkehr
PAR_BM_I0_1_T_BUSWIED;SuffixText;;
PAR_BM_I0_0_S_TELSCHALT0;Text;Telegramm;Telegramm
PAR_BM_I0_0_S_TELSCHALT0;SuffixText;;
PAR_BM_I0_0_S_TELPRIO0;Text;Telegramm;Telegramm
PAR_BM_I0_0_S_TELPRIO0;SuffixText;;
PAR_BM_I0_0_S_TELVAL0;Text;Telegramm;Telegramm
PAR_BM_I0_0_S_TELVAL0;SuffixText;;
PAR_BM_I0_0_S_TELPROZ0;Text;Telegramm;Telegramm
PAR_BM_I0_0_S_TELPROZ0;SuffixText;;
PAR_BM_I0_0_S_TEL2BY0;Text;Telegramm;Telegramm
PAR_BM_I0_0_S_TEL2BY0;SuffixText;#,#;#,#
PAR_BM_I0_0_S_TEL4BY0;Text;Telegramm;Telegramm
PAR_BM_I0_0_S_TEL4BY0;SuffixText;#,#;#,#
PAR_BM_I0_0_T_TELSCHALTLNG;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TELSCHALTLNG;SuffixText;;
PAR_BM_I0_0_T_TELPRIOLNG;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TELPRIOLNG;SuffixText;;
PAR_BM_I0_0_T_TELVALLNG;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TELVALLNG;SuffixText;;
PAR_BM_I0_0_T_TELPROZLNG;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TELPROZLNG;SuffixText;;
PAR_BM_I0_0_T_TEL2BYLNG;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TEL2BYLNG;SuffixText;#,#;#,#
PAR_BM_I0_0_T_TEL4BYLNG;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TEL4BYLNG;SuffixText;#,#;#,#
PAR_BM_I0_0_T_TELSCHALTDKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TELSCHALTDKL;SuffixText;;
PAR_BM_I0_0_T_TELPRIODKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TELPRIODKL;SuffixText;;
PAR_BM_I0_0_T_TELVALDKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TELVALDKL;SuffixText;;
PAR_BM_I0_0_T_TELPROZDKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TELPROZDKL;SuffixText;;
PAR_BM_I0_0_T_TEL2BYDKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TEL2BYDKL;SuffixText;#,#;#,#
PAR_BM_I0_0_T_TEL4BYDKL;Text;Telegramm;Telegramm
PAR_BM_I0_0_T_TEL4BYDKL;SuffixText;#,#;#,#
PAR_BM_I0_1_S_TELSCHALT1;Text;Telegramm;Telegramm
PAR_BM_I0_1_S_TELSCHALT1;SuffixText;;
PAR_BM_I0_1_S_TELPRIO1;Text;Telegramm;Telegramm
PAR_BM_I0_1_S_TELPRIO1;SuffixText;;
PAR_BM_I0_1_S_TELVAL1;Text;Telegramm;Telegramm
PAR_BM_I0_1_S_TELVAL1;SuffixText;;
PAR_BM_I0_1_S_TELPROZ1;Text;Telegramm;Telegramm
PAR_BM_I0_1_S_TELPROZ1;SuffixText;;
PAR_BM_I0_1_S_TEL2BY1;Text;Telegramm;Telegramm
PAR_BM_I0_1_S_TEL2BY1;SuffixText;#,#;#,#
PAR_BM_I0_1_S_TEL4BY1;Text;Telegramm;Telegramm
PAR_BM_I0_1_S_TEL4BY1;SuffixText;#,#;#,#
PAR_BM_I0_1_S_TELSCHALT0;Text;Telegramm;Telegramm
PAR_BM_I0_1_S_TELSCHALT0;SuffixText;;
PAR_BM_I0_1_S_TELPRIO0;Text;Telegramm;Telegramm
PAR_BM_I0_1_S_TELPRIO0;SuffixText;;
PAR_BM_I0_1_S_TELVAL0;Text;Telegramm;Telegramm
PAR_BM_I0_1_S_TELVAL0;SuffixText;;
PAR_BM_I0_1_S_TELPROZ0;Text;Telegramm;Telegramm
PAR_BM_I0_1_S_TELPROZ0;SuffixText;;
PAR_BM_I0_1_S_TEL2BY0;Text;Telegramm;Telegramm
PAR_BM_I0_1_S_TEL2BY0;SuffixText;#,#;#,#
PAR_BM_I0_1_S_TEL4BY0;Text;Telegramm;Telegramm
PAR_BM_I0_1_S_TEL4BY0;SuffixText;#,#;#,#
PAR_BM_I0_1_T_TELSCHALTKRZ;Text;Telegramm;Telegramm
PAR_BM_I0_1_T_TELSCHALTKRZ;SuffixText;;
PAR_BM_I0_1_T_TELPRIOKRZ;Text;Telegramm;Telegramm
PAR_BM_I0_1_T_TELPRIOKRZ;SuffixText;;
PAR_BM_I0_1_T_TELVALKRZ;Text;Telegramm;Telegramm
PAR_BM_I0_1_T_TELVALKRZ;SuffixText;;
PAR_BM_I0_1_T_TELPROZKRZ;Text;Telegramm;Telegramm
PAR_BM_I0_1_T_TELPROZKRZ;SuffixText;;
PAR_BM_I0_1_T_TEL2BYKRZ;Text;Telegramm;Telegramm
PAR_BM_I0_1_T_TEL2BYKRZ;SuffixText;#,#;#,#
PAR_BM_I0_1_T_TEL4BYKRZ;Text;Telegramm;Telegramm
PAR_BM_I0_1_T_TEL4BYKRZ;SuffixText;#,#;#,#
